property;symptom
Dépuratif;Acné
Carminative;Aérophagie
Expectorant;Affection bronches
Pectorale;Affection bronches
Antiacide;Aigreurs d'estomac
Antiallergique;Allergies
Astringente;Angine
Astringente;Angine / Diarrhés
Adaptogène;Anxiété
Calmante;Anxiété
Sédative;Anxiété
Anti-inflammatoire;Arthrite
Reminéralisante;Arthrose
Stimulante;Asthénie
Antispasmodique;Asthme
Sédative;Asthme
Bactricide;Bactérie
Carminative;Ballonnements
Antisudorale;Bouffées de chaleur
Antiseptique;Bronchites aiguës
Cicatrisant / Regénérant;Brûlures légères
Diurétique;Calculs
Cholagogue;Calculs biliaires
Cholérétique;Calculs biliaires
Antilithique;Calculs rénaux
Antibactérienne;Champignons, levures, moisissures
Antifongique;Champignons, levures, moisissures
Vulnéraire;Cicatrisation
Diurétique;Coliques néphrétiques
Antispasmodique;Colite
Antiseptique;Conjonctivite
Reminéralisante;Consolidation des fractures
Laxative;Constipation
Antalgique;Courbatures fébriles
Analgésique;Crampes
Antispasmodique;Crampes abdominales
Cholagogue;Crise de foie
Cicatrisant / Regénérant;Cutanéx irritées
Antiseptique urinaire;Cystite
Antidiarrhéique;Diarrhée
Astringente;Diarrhées
Cholérétique;Digestion difficile
Stomachique;Digestion difficile
Stomachique;Digestion lente
Hépatoprotecteur;Digestion lente
Diurétique;Diurétique
Antilaiteuse;Douleur mammaire
Antinévralgique;Douleur névralgique
Astringente;Douleurs Digestifs
Antispasmodique;Douleurs et spasmes abdominaux
Analgésique;Douleurs légères
Emménagogue;Douleurs menstruelles
Anti-inflammatoire;Douleurs musculosquelettiques
Anti-inflammatoire;Douleurs rhumatismales
Stomachique;Dyspepsie
Dépuratif;Eczéma
Sédative;Emotivité
Pectorale;Emphysème
Expectorant;Encombrement bronchique
Emolliente;Enrouements
Astringente;Extinction de voix
Immunostymulant;Faiblesse Infectieux
Adaptogène;Fatigue
Antioxydant;Fatigue chronique
Hépatoprotecteur;Fatigue liée au foie
Antibactérienne;Gastro-intestinales
Anti-inflammatoire;Gène prostatique
Antiseptique;Gène pulmonaire
Dépuratif;Goutte
Antiviral;Grippe
Stimulante;Grippe
Sudorifique;Grippe
Cicatrisant / Regénérant;Hémorroïdes
Hypotenseur;Hypertension
Diurétique;hypertension légère
Antiseptique;Infection urinaire
Immunostymulant;Infections à répétition
Anti-inflammatoire;Infections aigües et chroniques
Antibactérienne;Infections cutanées
Antifongique;Infections cutanées
Antiseptique;Infections des voies urinaires
Antibactérienne;Infections intestinales
Antiseptique;Infections respiratoire
Antiviral;Infections virales Oto-Rhino-Laryngologie (Nez-Gorge-Oreilles)
Anti-inflammatoire;Inflammation de l'arbre urinaire et prostate
Adoucissant;Inflammation gastrique
Anti-inflammatoire;Inflammation gastrique
Anti-inflammatoire circulatoire;Inflammation vasculaire
Antiseptique;Inflammations buccales
Anti-inflammatoire;Inflammations cutanées
Calmante;Insomnie
Sédative;Insomnie
Hépatoprotectrice;Insuffisance hépatique
Astringente;Laryngite
Adaptogène;Manque d’énergie
Neurologique;Maux de tête
Antiseptique;Microbe
Calmante;Nervosité
Sédative;Nervosité
Diurétique;Oedèmes
Reminéralisante;Ostéoporose
Cardiotonique;Palpitations
Antiseptique;Plaie
Antiseptique;Plaie / microbe
Cicatrisant / Regénérant;Plaies
Antifongique;Presence de champignon
Vermifuge;Présence de vers
Diurétique;Calculs rénaux
Anti-diabétique;Prise de poids
Stimulante;Refroidissements
Antispasmodique;Règles douloureuses
Reminéralisante;Reminéralisant osseux
Antibactérienne;respiratoire
Diurétique;Rétention d’eau
Antiallergique;Rhinite
Antirhumatismale;Rhumatisme
Anti-inflammatoire;Rhumatismes
Antiseptique;Rhume
Antiviral;Rhume
Expectorant;Rhume
Sudorifique;Rhume
Régénérante;Rides
Régénérante;Sécheresse et vieillissement cutané
Sédative;Sédatif
Antispasmodique;Spasmes abdominaux
Adaptogène;Stress
Antioxydant;Stress oxydatif
Hépatoprotecteur;Surcharge hépatique
Antalgique;Tendinite
Anti-inflammatoire;Tendinite
Antitussive;Toux
Expectorant;Toux grasse
Antisudorale;Transpiration excessive
Antispasmodique;Trouble abdominal
Antioxydant;Trouble de la circulation et de la ménopause
Astringente;Trouble Digestif
Carminative;Trouble Digestif
Cholérétique;Trouble Digestif
Hépatoprotecteur;Trouble Digestif
Stomachique;Trouble Digestif
Vulnéraire;Ulcères
Vulnéraire;Ulcères variqueux
Tonique vasculaire;Varices
Restructurante;Vergetures
Vermifuge;Vermifuge
Antioxydant;Vieillissement cellulaire
